,Country,AREA,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
224,Afghanistan,935,Asia,Southern Asia,Developing regions,10,20,30,30,70,100,110,90,100,60,150,460,410,400,200,220,200,150,250,270,100,20,40,70,80,110,180,140,560,..,..,..,..,..
225,Albania,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,10,80,40,30,30,100,90,80,80,70,110,110,200,250,140,130,110,110,140,..,..,..,..,..
226,Algeria,903,Africa,Northern Africa,Developing regions,10,50,30,10,20,20,10,10,20,20,20,30,20,20,20,20,20,20,10,30,20,30,60,20,20,50,30,30,60,..,..,..,..,..
227,American Samoa,909,Oceania,Polynesia,Developing regions,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..
228,Andorra,908,Europe,Southern Europe,Developed regions,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,10,0,10,10,0,10,10,..,..,..,..,..
229,Angola,903,Africa,Middle Africa,Developing regions,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,20,10,10,20,30,20,..,..,..,..,..
230,Anguilla,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
231,Antigua and Barbuda,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10,10,10,10,10,0,0,..,..,..,..,..
232,Argentina,904,Latin America and the Caribbean,South America,Developing regions,570,640,850,520,400,540,650,630,630,660,740,730,520,290,310,370,350,290,340,350,380,430,500,580,560,450,430,460,490,..,..,..,..,..
233,Armenia,935,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,60,50,30,30,30,20,20,40,30,30,40,20,40,60,..,..,..,..,..
234,Aruba,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,..,..,..,..,..
235,Australia,909,Oceania,Australia and New Zealand,Developed regions,280,180,170,150,120,150,100,50,10,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,590,700,140,220,780,..,..,..,..,..
236,Austria,908,Europe,Western Europe,Developed regions,4100,3510,5120,1670,1040,970,1230,1480,1480,1050,770,510,600,570,790,660,600,640,590,600,700,1050,1070,1050,800,650,790,570,600,..,..,..,..,..
237,Azerbaijan,935,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,20,10,20,20,20,30,20,40,30,50,30,..,..,..,..,..
238,Bahamas,904,Latin America and the Caribbean,Caribbean,Developing regions,10,20,0,20,20,20,20,40,40,0,10,0,10,0,20,0,10,10,10,10,10,20,20,20,20,20,30,20,20,..,..,..,..,..
239,Bahrain,935,Asia,Western Asia,Developing regions,70,100,80,160,160,140,150,130,230,140,150,70,120,150,160,210,180,160,130,160,160,210,250,250,380,460,490,240,220,..,..,..,..,..
240,Bangladesh,935,Asia,Southern Asia,Developing regions,170,180,220,140,170,220,190,150,270,270,400,600,690,360,690,1050,900,520,600,900,1180,1480,1810,2870,2970,1860,2570,3680,3160,..,..,..,..,..
241,Barbados,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,10,10,20,10,20,20,20,10,10,20,10,10,0,10,10,10,10,10,10,30,10,10,20,10,10,10,..,..,..,..,..
242,Belarus,908,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,10,10,40,40,30,40,30,30,20,30,40,50,40,70,50,60,60,..,..,..,..,..
243,Belgium,908,Europe,Western Europe,Developed regions,230,270,400,280,260,270,290,310,370,290,270,250,300,350,400,350,360,350,330,390,440,480,450,480,410,410,480,530,560,..,..,..,..,..
244,Belize,904,Latin America and the Caribbean,Central America,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,10,0,0,..,..,..,..,..
245,Benin,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,10,10,0,0,90,210,..,..,..,..,..
246,Bermuda,905,Northern America,Northern America,Developed regions,20,20,30,30,20,20,20,30,30,30,40,20,10,30,20,40,30,20,20,20,20,40,40,40,40,20,50,30,50,..,..,..,..,..
247,Bhutan,935,Asia,Southern Asia,Developing regions,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,20,20,20,20,30,40,30,50,40,80,70,90,100,150,..,..,..,..,..
248,Bolivia (Plurinational State of),904,Latin America and the Caribbean,South America,Developing regions,20,30,20,30,30,30,30,30,50,30,30,20,40,30,20,40,50,50,40,50,30,30,40,40,40,40,50,50,50,..,..,..,..,..
249,Bosnia and Herzegovina,908,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,2470,2140,1120,1600,700,560,370,310,240,240,240,250,300,320,..,..,..,..,..
250,Botswana,903,Africa,Southern Africa,Developing regions,20,40,40,80,40,50,60,80,60,80,80,80,100,130,170,240,200,210,340,230,420,420,450,590,390,260,200,230,260,..,..,..,..,..
